,Time (s),Frequency,Swara
0,0.0,612.0,D
1,0.04,100.0,r
2,0.08,103.0,R
3,0.12,302.0,d
4,0.16,788.0,r
5,0.2,99.0,r
6,0.24,100.0,r
7,0.28,101.0,r
8,0.32,100.0,r
9,0.36,99.0,r
10,0.4,108.0,R
11,0.44,103.0,R
12,0.48,102.0,R
13,0.52,102.0,R
14,0.56,100.0,r
15,0.6,102.0,R
16,0.64,93.0,S
17,0.68,102.0,r
18,0.72,103.0,R
19,0.76,102.0,r
20,0.8,102.0,R
21,0.84,102.0,r
22,0.88,179.0,N
23,0.92,102.0,r
24,0.96,102.0,R
25,1.0,172.0,N
26,1.04,95.0,S
27,1.08,100.0,r
28,1.12,97.0,r
29,1.16,294.0,d
30,1.2,286.0,P
31,1.24,286.0,P
32,1.28,290.0,d
33,1.32,441.0,g
34,1.36,329.0,n
35,1.4,339.0,n
36,1.44,345.0,N
37,1.48,329.0,n
38,1.52,90.0,N
39,1.56,306.0,D
40,1.6,306.0,D
41,1.64,302.0,d
42,1.68,302.0,d
43,1.72,1002.0,M
44,1.76,294.0,d
45,1.8,294.0,d
46,1.84,294.0,d
47,1.88,272.0,P
48,1.92,279.0,P
49,1.96,100.0,r
50,2.0,102.0,R
51,2.04,100.0,r
52,2.08,102.0,r
53,2.12,94.0,S
54,2.16,108.0,R
55,2.2,103.0,R
56,2.24,102.0,r
57,2.28,94.0,S
58,2.32,94.0,S
59,2.36,99.0,r
60,2.4,92.0,S
61,2.44,102.0,R
62,2.48,102.0,R
63,2.52,102.0,R
64,2.56,92.0,S
65,2.6,124.0,M
66,2.64,172.0,N
67,2.68,538.0,M*
68,2.72,538.0,M*
69,2.76,525.0,M*
70,2.8,525.0,M*
71,2.84,92.0,S
72,2.88,93.0,S
73,2.92,91.0,S
74,2.96,93.0,S
75,3.0,91.0,S
76,3.04,90.0,N
77,3.08,89.0,N
78,3.12,91.0,S
79,3.16,77.0,D
80,3.2,92.0,S
81,3.24,380.0,S
82,3.28,306.0,D
83,3.32,200.0,r
84,3.36,424.0,R
85,3.4,200.0,r
86,3.44,202.0,r
87,3.48,223.0,g
88,3.52,227.0,g
89,3.56,227.0,g
90,3.6,223.0,g
91,3.64,208.0,R
92,3.68,92.0,S
93,3.72,96.0,r
94,3.76,95.0,S
95,3.8,89.0,N
96,3.84,89.0,N
97,3.88,88.0,N
98,3.92,100.0,r
99,3.96,102.0,R
100,4.0,91.0,S
101,4.04,91.0,S
102,4.08,91.0,S
103,4.12,91.0,S
104,4.16,93.0,S
105,4.2,93.0,S
106,4.24,89.0,N
107,4.28,89.0,N
108,4.32,102.0,R
109,4.36,167.0,n
110,4.4,175.0,N
111,4.44,256.0,M*
112,4.48,788.0,r
113,4.52,232.0,G
114,4.56,102.0,R
115,4.6,95.0,S
116,4.64,85.0,n
117,4.68,92.0,S
118,4.72,93.0,S
119,4.76,253.0,M
120,4.8,100.0,r
121,4.84,668.0,n
122,4.88,76.0,d
123,4.92,94.0,S
124,4.96,92.0,S
125,5.0,93.0,S
126,5.04,103.0,R
127,5.08,90.0,N
128,5.12,93.0,S
129,5.16,77.0,D
130,5.2,2005.0,M
131,5.24,232.0,G
132,5.28,227.0,g
133,5.32,230.0,G
134,5.36,227.0,g
135,5.4,63.0,M
136,5.44,93.0,S
137,5.48,92.0,S
138,5.52,93.0,S
139,5.56,93.0,S
140,5.6,94.0,S
141,5.64,513.0,M*
142,5.68,113.0,g
143,5.72,95.0,S
144,5.76,100.0,r
145,5.8,95.0,S
146,5.84,93.0,S
147,5.88,98.0,r
148,5.92,612.0,D
149,5.96,630.0,D
