,Time (s),Frequency,Swara
0,0.0,596.0,d
1,0.04,596.0,d
2,0.08,294.0,d
3,0.12,125.0,M
4,0.16,290.0,d
5,0.2,306.0,D
6,0.24,311.0,D
7,0.28,302.0,d
8,0.32,298.0,d
9,0.36,124.0,M
10,0.4,123.0,M
11,0.44,294.0,d
12,0.48,124.0,M
13,0.52,83.0,n
14,0.56,596.0,d
15,0.6,294.0,d
16,0.64,294.0,d
17,0.68,290.0,d
18,0.72,124.0,M
19,0.76,124.0,M
20,0.8,124.0,M
21,0.84,124.0,M
22,0.88,125.0,M
23,0.92,98.0,r
24,0.96,124.0,M
25,1.0,124.0,M
26,1.04,124.0,M
27,1.08,124.0,M
28,1.12,124.0,M
29,1.16,124.0,M
30,1.2,146.0,d
31,1.24,124.0,M
32,1.28,124.0,M
33,1.32,565.0,P
34,1.36,159.0,D
35,1.4,159.0,D
36,1.44,83.0,n
37,1.48,124.0,M
38,1.52,83.0,n
39,1.56,83.0,n
40,1.6,83.0,n
41,1.64,83.0,n
42,1.68,83.0,n
43,1.72,83.0,n
44,1.76,83.0,n
45,1.8,83.0,n
46,1.84,83.0,n
47,1.88,83.0,n
48,1.92,83.0,n
49,1.96,83.0,n
50,2.0,83.0,n
51,2.04,83.0,n
52,2.08,83.0,n
53,2.12,83.0,n
54,2.16,83.0,n
55,2.2,83.0,n
56,2.24,83.0,n
57,2.28,83.0,n
58,2.32,83.0,n
59,2.36,83.0,n
60,2.4,83.0,n
61,2.44,83.0,n
62,2.48,83.0,n
63,2.52,324.0,n
64,2.56,329.0,n
65,2.6,329.0,n
66,2.64,329.0,n
67,2.68,329.0,n
68,2.72,329.0,n
69,2.76,329.0,n
70,2.8,329.0,n
71,2.84,329.0,n
72,2.88,329.0,n
73,2.92,334.0,n
74,2.96,334.0,n
75,3.0,334.0,n
76,3.04,329.0,n
77,3.08,329.0,n
78,3.12,334.0,n
79,3.16,334.0,n
80,3.2,334.0,n
81,3.24,334.0,n
82,3.28,334.0,n
83,3.32,329.0,n
84,3.36,329.0,n
85,3.4,329.0,n
86,3.44,334.0,n
87,3.48,334.0,n
88,3.52,324.0,n
89,3.56,311.0,D
90,3.6,311.0,D
91,3.64,306.0,D
92,3.68,311.0,D
93,3.72,315.0,D
94,3.76,324.0,n
95,3.8,329.0,n
96,3.84,329.0,n
97,3.88,329.0,n
98,3.92,329.0,n
99,3.96,329.0,n
100,4.0,320.0,D
101,4.04,320.0,D
102,4.08,315.0,D
103,4.12,315.0,D
104,4.16,324.0,n
105,4.2,324.0,n
106,4.24,320.0,D
107,4.28,320.0,D
108,4.32,324.0,n
109,4.36,329.0,n
110,4.4,350.0,N
111,4.44,356.0,N
112,4.48,361.0,N
113,4.52,368.0,S
114,4.56,374.0,S
115,4.6,380.0,S
116,4.64,387.0,r
117,4.68,387.0,r
118,4.72,387.0,r
119,4.76,387.0,r
120,4.8,387.0,r
121,4.84,387.0,r
122,4.88,394.0,r
123,4.92,387.0,r
124,4.96,387.0,r
125,5.0,387.0,r
126,5.04,394.0,r
127,5.08,394.0,r
128,5.12,394.0,r
129,5.16,394.0,r
130,5.2,394.0,r
131,5.24,394.0,r
132,5.28,387.0,r
133,5.32,394.0,r
134,5.36,394.0,r
135,5.4,394.0,r
136,5.44,394.0,r
137,5.48,394.0,r
138,5.52,394.0,r
139,5.56,394.0,r
140,5.6,394.0,r
141,5.64,394.0,r
142,5.68,394.0,r
143,5.72,394.0,r
144,5.76,394.0,r
145,5.8,394.0,r
146,5.84,394.0,r
147,5.88,394.0,r
148,5.92,394.0,r
