,Time (s),Frequency,Swara
0,0.0,387.0,r
1,0.04,387.0,r
2,0.08,387.0,r
3,0.12,387.0,r
4,0.16,387.0,r
5,0.2,368.0,S
6,0.24,345.0,N
7,0.28,339.0,n
8,0.32,311.0,D
9,0.36,311.0,D
10,0.4,320.0,D
11,0.44,324.0,n
12,0.48,339.0,n
13,0.52,345.0,N
14,0.56,380.0,S
15,0.6,380.0,S
16,0.64,345.0,N
17,0.68,380.0,S
18,0.72,380.0,S
19,0.76,380.0,S
20,0.8,380.0,S
21,0.84,380.0,S
22,0.88,380.0,S
23,0.92,374.0,S
24,0.96,350.0,N
25,1.0,387.0,r
26,1.04,345.0,N
27,1.08,320.0,D
28,1.12,185.0,S
29,1.16,424.0,R
30,1.2,188.0,S
31,1.24,334.0,n
32,1.28,350.0,N
33,1.32,350.0,N
34,1.36,350.0,N
35,1.4,350.0,N
36,1.44,350.0,N
37,1.48,350.0,N
38,1.52,356.0,N
39,1.56,350.0,N
40,1.6,345.0,N
41,1.64,345.0,N
42,1.68,356.0,N
43,1.72,356.0,N
44,1.76,350.0,N
45,1.8,345.0,N
46,1.84,345.0,N
47,1.88,356.0,N
48,1.92,356.0,N
49,1.96,356.0,N
50,2.0,350.0,N
51,2.04,334.0,n
52,2.08,320.0,D
53,2.12,320.0,D
54,2.16,311.0,D
55,2.2,302.0,d
56,2.24,290.0,d
57,2.28,286.0,P
58,2.32,279.0,P
59,2.36,272.0,P
60,2.4,266.0,M*
61,2.44,269.0,M*
62,2.48,329.0,n
63,2.52,339.0,n
64,2.56,350.0,N
65,2.6,320.0,D
66,2.64,339.0,n
67,2.68,339.0,n
68,2.72,339.0,n
69,2.76,298.0,d
70,2.8,320.0,D
71,2.84,311.0,D
72,2.88,320.0,D
73,2.92,311.0,D
74,2.96,78.0,D
75,3.0,78.0,D
76,3.04,329.0,n
77,3.08,320.0,D
78,3.12,315.0,D
79,3.16,311.0,D
80,3.2,311.0,D
81,3.24,311.0,D
82,3.28,311.0,D
83,3.32,306.0,D
84,3.36,311.0,D
85,3.4,311.0,D
86,3.44,311.0,D
87,3.48,311.0,D
88,3.52,306.0,D
89,3.56,306.0,D
90,3.6,311.0,D
91,3.64,306.0,D
92,3.68,306.0,D
93,3.72,306.0,D
94,3.76,306.0,D
95,3.8,311.0,D
96,3.84,311.0,D
97,3.88,311.0,D
98,3.92,311.0,D
99,3.96,311.0,D
100,4.0,315.0,D
101,4.04,311.0,D
102,4.08,311.0,D
103,4.12,306.0,D
104,4.16,306.0,D
105,4.2,306.0,D
106,4.24,311.0,D
107,4.28,311.0,D
108,4.32,306.0,D
109,4.36,311.0,D
110,4.4,315.0,D
111,4.44,134.0,M*
112,4.48,266.0,M*
113,4.52,266.0,M*
114,4.56,262.0,M*
115,4.6,259.0,M*
116,4.64,259.0,M*
117,4.68,259.0,M*
118,4.72,259.0,M*
119,4.76,259.0,M*
120,4.8,259.0,M*
121,4.84,262.0,M*
122,4.88,272.0,P
123,4.92,294.0,d
124,4.96,294.0,d
125,5.0,294.0,d
126,5.04,298.0,d
127,5.08,306.0,D
128,5.12,306.0,D
129,5.16,306.0,D
130,5.2,306.0,D
131,5.24,306.0,D
132,5.28,306.0,D
133,5.32,306.0,D
134,5.36,306.0,D
135,5.4,306.0,D
136,5.44,306.0,D
137,5.48,306.0,D
138,5.52,306.0,D
139,5.56,306.0,D
140,5.6,315.0,D
141,5.64,298.0,d
142,5.68,290.0,d
143,5.72,279.0,P
144,5.76,155.0,D
145,5.8,78.0,D
146,5.84,155.0,D
147,5.88,155.0,D
148,5.92,155.0,D
149,5.96,155.0,D
