,Time (s),Frequency,Swara
0,0.0,94.0,S
1,0.04,95.0,S
2,0.08,95.0,S
3,0.12,96.0,S
4,0.16,96.0,r
5,0.2,145.0,d
6,0.24,95.0,S
7,0.28,298.0,d
8,0.32,324.0,n
9,0.36,334.0,n
10,0.4,84.0,n
11,0.44,85.0,n
12,0.48,320.0,D
13,0.52,298.0,d
14,0.56,306.0,D
15,0.6,306.0,D
16,0.64,302.0,d
17,0.68,612.0,D
18,0.72,630.0,D
19,0.76,302.0,d
20,0.8,760.0,S
21,0.84,760.0,S
22,0.88,290.0,d
23,0.92,283.0,P
24,0.96,251.0,M
25,1.0,256.0,M*
26,1.04,306.0,D
27,1.08,302.0,d
28,1.12,259.0,M*
29,1.16,127.0,M
30,1.2,96.0,r
31,1.24,102.0,R
32,1.28,97.0,r
33,1.32,95.0,S
34,1.36,119.0,G
35,1.4,105.0,R
36,1.44,102.0,R
37,1.48,96.0,r
38,1.52,97.0,r
39,1.56,94.0,S
40,1.6,97.0,r
41,1.64,104.0,R
42,1.68,100.0,r
43,1.72,94.0,S
44,1.76,94.0,S
45,1.8,94.0,S
46,1.84,94.0,S
47,1.88,130.0,M*
48,1.92,152.0,d
49,1.96,154.0,D
50,2.0,459.0,G
51,2.04,469.0,G
52,2.08,232.0,G
53,2.12,204.0,R
54,2.16,223.0,g
55,2.2,105.0,R
56,2.24,279.0,P
57,2.28,97.0,r
58,2.32,101.0,r
59,2.36,100.0,r
60,2.4,104.0,R
61,2.44,156.0,D
62,2.48,153.0,D
63,2.52,298.0,d
64,2.56,306.0,D
65,2.6,306.0,D
66,2.64,94.0,S
67,2.68,91.0,S
68,2.72,90.0,N
69,2.76,302.0,d
70,2.8,612.0,D
71,2.84,302.0,d
72,2.88,306.0,D
73,2.92,311.0,D
74,2.96,302.0,d
75,3.0,735.0,S
76,3.04,401.0,r
77,3.08,276.0,P
78,3.12,294.0,d
79,3.16,302.0,d
80,3.2,302.0,d
81,3.24,298.0,d
82,3.28,286.0,P
83,3.32,306.0,D
84,3.36,311.0,D
85,3.4,302.0,d
86,3.44,93.0,S
87,3.48,93.0,S
88,3.52,93.0,S
89,3.56,97.0,r
90,3.6,96.0,S
91,3.64,101.0,r
92,3.68,101.0,r
93,3.72,103.0,R
94,3.76,306.0,D
95,3.8,294.0,d
96,3.84,96.0,r
97,3.88,102.0,R
98,3.92,101.0,r
99,3.96,99.0,r
100,4.0,100.0,r
101,4.04,99.0,r
102,4.08,100.0,r
103,4.12,97.0,r
104,4.16,153.0,D
105,4.2,152.0,d
106,4.24,152.0,d
107,4.28,103.0,R
108,4.32,102.0,R
109,4.36,102.0,r
110,4.4,302.0,d
111,4.44,100.0,r
112,4.48,102.0,R
113,4.52,103.0,R
114,4.56,96.0,r
115,4.6,95.0,S
116,4.64,96.0,r
117,4.68,97.0,r
118,4.72,96.0,S
119,4.76,286.0,P
120,4.8,306.0,D
121,4.84,306.0,D
122,4.88,339.0,n
123,4.92,88.0,N
124,4.96,86.0,N
125,5.0,84.0,n
126,5.04,103.0,R
127,5.08,103.0,R
128,5.12,306.0,D
129,5.16,306.0,D
130,5.2,302.0,d
131,5.24,612.0,D
132,5.28,302.0,d
133,5.32,432.0,g
134,5.36,279.0,P
135,5.4,283.0,P
136,5.44,279.0,P
137,5.48,276.0,P
138,5.52,272.0,P
139,5.56,266.0,M*
140,5.6,279.0,P
141,5.64,279.0,P
142,5.68,86.0,N
143,5.72,96.0,r
144,5.76,97.0,r
145,5.8,88.0,N
146,5.84,94.0,S
147,5.88,107.0,R
148,5.92,106.0,R
149,5.96,95.0,S
